Topic,Tweets,Date,Number
,@WESH is your audio broken/choppy or is it @ATT Uverse?,8/17/2017 ,5
,@WESH,1/24/2018,5
,@WESH ..... y'all sleeping,10/11/2017 ,5
,@WESH @henryjenkins,2/2/2018 ,5
,. @WESH y'all trash #STKMUN,9/9/2017 ,5
,@WESH Where is Michelle Meredith's lizard?,9/10/2017 ,5
,WESH 107.7 FM Magic 107 WMGF,9/8/2017,5
,@WESH no zeb,7/21/2017 ,5
,@WESH last joint at 9pm and it's done,7/21/2017 ,5
,@WESH hmloo.bh .. M,7/27/2017 ,5
,@WESH where's the FOOTY?,9/9/2017 ,5
,@WESH is the Whitehair bridge on HWY 44 opened yet?,8/10/2017 ,5
,@WESH j'avais même pas vu. Ça perd toute credibilité.,7/30/2017 ,5
,@WESH @citybeautiful .....tuckpoint,1/23/2018 ,5
,"@WESH Or if they jackknife , .",6/13/2017 ,5
,@WESH Even walking .,6/9/2017 ,5
,@WESH SPECTRUM IS ON STRIKE,1/4/2018,5
,@GregFoxWESH This is an interaction. @WESH #MoveUpTheBoard,7/14/2017 ,5
,@WESH wat about deland,9/11/2017,5
,YEEEEEEEEEES @Wesh,10/12/2017 ,5
,@WESH get rid of @TMainolfiWESH,9/10/2017 ,5
,@WESH why is a helicopter hovering over I-4 in Maitland,12/1/2017,5
,@WESH ??,5/31/2017 ,5
,Martha who? @WESH,7/29/2017 ,5
,@wesh jvais crée un trucmoi,12/15/2017 ,5
,"@WESH garbage, keep them out!",8/3/2017 ,5
,@kylegravlin @WESH bippity boppity buck no,9/17/2017 ,5
,@WESH what is that boom sound in Sanford?,1/2/2018 ,5
,@NWSTallahassee @NWSJacksonville @NWSMobile @WESH @WeatherCenterHQ @FOX13TampaBay @TWOweather @TWCBryan @JimCantore @StephanieAbrams,10/4/2017 ,5
,This is at the Lone Cabbage Fish Camp in Coca. - @WESH,11/12/2017 ,5
,@WESH #nothingfrageelee #JimPayne,12/19/2017 ,5
,wesh is buffoonish,1/29/2018,5
,@WESH is eveyone forgetting katrina 2005 catagory 6,9/5/2017 ,5
,@WESH2Sunrise @WESH forgot to tag you.,12/10/2017 ,5
,"Hawking, not WESH. :)",6/22/2017,5
,@WESH your site is serving malicious ads that forcibly redirect me to another site #malvertising,1/28/2018 ,5
,@WESH Wht is heroin meth insect,7/29/2017,5
,@OCPSnews @brightstarfans @BrightStarBway @OCPSnews @WESH @WintergardenB,1/12/2018,5
,@WESH ohh egg specials too,1/5/2018 ,5
,Eg @kmbc @wesh @ketv @wmur9 @WISN12News @wgal @4029news all tweeting in sync.,8/27/2017 ,5
,@WESH @dbnewsjournal,9/11/2017,5
,@NWSTallahassee @NWSJacksonville @NWSMobile @WESH @WeatherCenterHQ @FOX13TampaBay @TWOweather @TWCBryan @JimCantore @StephanieAbrams,10/4/2017 ,5
,@Stewartmoore @WESH I spy.... #Ocala #wesh pic.twitter.com/iAgSbmlKJ7,1/9/2018 ,5
,"@WESH Thank you very much , WESH T.V.",6/7/2017,5
,@WESH Will you simulcast on CW18 during the storm? I can get CW18 with rabbit ears but not WESH.,9/8/2017 ,5
,@WESH @DIRECTVService Why does Wesh Channel 2 orlando mrkt constantly have signal interruption. It's only on Wesh & it's maddening!,8/14/2017 ,5
,Thhheeeyyy'rrree Bbbaaccckkk! @WESH https:// twitter.com/wesh/status/93 5032996587081730 …,11/27/2017,5
,Well deserved for one of OPD's finest! @WESH https:// twitter.com/WESH/status/89 7156438321057792 …,8/14/2017 ,5
,@WESH http:// gf.me/u/p7euw,6/3/2017 ,5
,@WFTVTraffic @WESH @Fox35TrafficNow @MyNews13Traffic @news6wkmg,5/19/2017 ,5
,@Florida_Today @shannonkdelaney @news6wkmg @WESH @gpallone13 @,12/15/2017,5
,@WFTVTraffic @WESH @Fox35TrafficNow @MyNews13Traffic @news6wkmg,5/19/2017 ,5
,@Florida_Today @shannonkdelaney @news6wkmg @WESH @gpallone13 @,12/15/2017,5
,@WESH for God sake put the game on the CW or on wesh,9/10/2017 ,5
,On live now on http:// wesh.com . @WESH pic.twitter.com/uNOAWhMki8,8/14/2017 ,5
,@WESH broadcast on http:// wesh.com went out? @TMainolfiWESH @EricBurrisWESH,9/11/2017,5
,And you can see all of the action on WESH 2! @WESH https:// twitter.com/jaygalbraith/s tatus/952736129261932551 …,1/14/2018 ,5
just got say did win away saw tv said gas
,Now it's just regular murders..,1/12/2018,6
,He just seems SOOOO much smoother than the tyrant who is destroying this planet,12/27/2017 ,6
,This is just baloney!,12/3/2017 ,6
,Just what are the krauts protesting ?,10/15/2017 ,6
,just allahou akbar ???,6/13/2017,6
,It just seems tasteless and not classy,12/15/2017 ,6
,How about 6pm to 6am...just sayin',11/15/2017 ,6
,Nooooooo - just NO,5/16/2017 ,6
,"First of all, it's not JUST A SONG.",8/6/2017 ,6
,Just bizarre!!,12/4/2017 ,6
,It is if it just broke,12/15/2017 ,6
,Could not just go straight to Canton?,8/3/2017 ,6
,just NOOOOI,7/28/2017 ,6
,And THENNNNN THEY HAVE THE NERVE TO JUST sentence her to probation,12/5/2017 ,6
,just despicable,1/10/2018 ,6
,Just kidding no speeding!,9/20/2017 ,6
,No. Just no. NO!,5/15/2017 ,6
,just heartbreaking,6/5/2017 ,6
,"Hahahaha hahahahah!!!!!!!!!! They should just put tape over his mouth hahahahahahaha!!!""",10/17/2017 ,6
,Was this bear ever tested to find out if it had any diseases or is this just a theory of a photographer.. #fakenews ..?,12/9/2017 ,6
,Just so heartbreaking. #RIPOllie,10/13/2017 ,6
,I just looked at their site and what I posted from Dec 12th isnt there any longer.,12/17/2017 ,6
,That's just dumb.,1/30/2018 ,6
,That is just creepy.,6/15/2017,6
,He's just evil!,10/17/2017 ,6
,I just can't anymore. He is a maggot.,10/17/2017 ,6
,Just find another baker!!!,12/29/2017 ,6
,No biggie....just all the accounts.,10/3/2017 ,6
,Just another part of the racket,11/29/2017 ,6
,why just give them canoes,8/26/2017 ,6
,Yup. That 700-mile-wide monster just snuck up on us.,9/12/2017,6
,Just more evidence that he might be psychopath,10/17/2017 ,6
,Just another corrupt Democrat!,12/4/2017,6
,What’s to discuss? Just do it!,10/13/2017 ,6
,"No. Beruff is snake oil, sneaky snake, and just creepy out of touch.",8/18/2017 ,6
,Haha that was a very creative image you just conjured up there!!!,11/29/2017 ,6
,"jaja you wont fool me, its just a rocket launch played backwards !!!",12/16/2017 ,6
,He should have just written the letter.,10/17/2017 ,6
,They're just undocumented shoppers.,9/10/2017 ,6
,No she should not she just a hood rat,11/22/2017 ,6
,I just drove by this! How scary.,7/24/2017 ,6
,They should just lock him up.,10/17/2017 ,6
,That's just...evil.,10/17/2017 ,6
,We’re out in Deltona. Affecting more than just NSB. #Spooky,10/24/2017 ,6
,"No, just No. Because LGBTQ. No.",12/13/2017 ,6
,When is 19 am? I'm just wondering!!! Hahaha,11/5/2017 ,6
,Just be careful when viewing the eclipse,8/20/2017 ,6
,Dang she's just precious,7/6/2017 ,6
,"Just another stable genious.""""",1/10/2018 ,6
,That is just nonsense. Plants transform carbon dioxide,1/3/2018 ,6
,That just sucks.,9/10/2017 ,6
,Not just decriminalize but LEGALIZE!,1/26/2018 ,6
,I just can't take it,10/7/2017 ,6
,She’s just afraid she fits his type.,9/29/2017 ,6
,...or just #CallACanadian !,1/2/2018 ,6
,I'm just so done.,10/17/2017 ,6
,UUUUUGH I JUST ATE,1/19/2018 ,6
,Can we just legalize weed already? For Petes sake..,5/29/2017 ,6
,I'm not surprised... Just... Disappointed.,10/17/2017 ,6
,Just a stunt,10/8/2017 ,6
,Why..just why...,12/23/2017 ,6
,"Just sickening, scrounges",8/28/2017 ,6
,@OmarKelly locals just being locals...,9/10/2017 ,6
,Just another CORPORATE democrat!,11/1/2017 ,6
,Just luv it,12/26/2017 ,6
,Mugshot. Just wrights being whrite,10/26/2017 ,6
,"Nasty, just nasty conditions.",9/10/2017 ,6
,Just get out Latvala. You're a perv.,12/5/2017 ,6
,EUUU...just EUUUU,10/12/2017 ,6
,I just can't...,8/22/2017,6
,Just fellow brethren,11/24/2017 ,6
,Just my bare eyes,8/21/2017 ,6
,Just tweeted to @LopezCantera,10/14/2017 ,6
,Just no,12/27/2017 ,6
,Get over it. It's just a name.,8/30/2017 ,6
,Why put this on the servers? Just switch to paper straws!,1/28/2018 ,6
,that's just dirt,8/30/2017 ,6
,This just reminded me of that aspect,9/11/2017,6
,"A journalist is suppose to critically examine claims, not just blindly repeat propaganda",7/15/2017,6
,Just heartbreaking .,6/5/2017 ,6
,He tends to stumble off the script even when they give him one. They should just put tape over his mouth,10/17/2017 ,6
,"Looting is not just stealing though, it's civil disorder. Anarchy can not be tolerated within a civil society for obvious reasons. Thin edge",9/11/2017,6
,I’m just here to collect my paycheck #Cutler,12/27/2017 ,6
,Just unreal,8/28/2017,6
,No they should just remove HER,12/11/2017 ,6
,Just...no.,8/10/2017,6
,she literally just aborted it why are you crying,12/9/2017 ,6
,Just NO,7/25/2017 ,6
,"Well BUSH, just draining the SWAMP. You have something to hide!!",11/4/2017 ,6
,I just noticed the beads Southern Snowmen have style,12/8/2017 ,6
,this is just too much!,11/6/2017 ,6
,This is just heartbreaking. These farms must be held accountable!,11/10/2017,6
,Just add coffee.,9/13/2017,6
,Just put some coffee on.,8/5/2017,6
,Just same routine when anybody up,1/19/2018,6
,I'm just 'winging' it,11/22/2017 ,6
,Hurry up and just DO IT!!,10/5/2017 ,6
,you just HAD TO GO VIRAL FOR THIS,11/19/2017 ,6
,There is no confusion as to what humans should eat { plant \ vegan} Just a bunch of inexperienced sales types selling nonsense,8/2/2017,6
,It will certainly determine whether charitable contributions are charitable or just an economic strategy #TaxReform,12/29/2017,6
sad wow family oh hope prayers rip really poor god
,Sad,12/4/2017 ,7
,Very sad,7/5/2017,7
,Tiger in the drunk tank. Sad.,5/29/2017 ,7
,Soo sad...,1/28/2018,7
,I am so sad about this,11/9/2017 ,7
,Sad,1/15/2018 ,7
,Very sad,9/1/2017 ,7
,that is so sad,12/23/2017 ,7
,that is so sad,12/21/2017 ,7
,that is so sad,12/2/2017 ,7
,still sad.,5/29/2017 ,7
,Very sad. Will not be renewing my membership.,8/21/2017,7
,So so sad!,2/2/2018,7
,So sad,7/10/2017,7
,Sad you keep tweeting this for clicks.,7/8/2017,7
,"Very, very sad.",1/3/2018 ,7
,So sad.,12/11/2017 ,7
,So sad suicide has become an epidemic,1/17/2018,7
,So so sad,12/6/2017 ,7
,So sad...,12/11/2017 ,7
,So sad,11/2/2017 ,7
,Sad,8/18/2017 ,7
,Sad,8/18/2017,7
,So sad,7/3/2017 ,7
,Sad...,6/22/2017 ,7
,Sad,6/20/2017 ,7
,So very SAD!,11/15/2017 ,7
,Very sad,12/28/2017,7
,so sad...,9/10/2017 ,7
,This is so sad.,9/14/2017,7
,How very sad,9/15/2017 ,7
,This is so sad,1/30/2018 ,7
,Sad,9/13/2017,7
,So sad...,6/5/2017 ,7
,That's extremely sad...,9/10/2017 ,7
,i’m so sad,10/13/2017,7
,sad!!!!!,9/13/2017,7
,Sad soo sad. Lowlife.,9/10/2017 ,7
,Sad.,8/16/2017 ,7
,Sad...,5/6/2017 ,7
,Sad..........,9/26/2017 ,7
,Very sad and tragic.,1/30/2018 ,7
,So sad!,10/26/2017 ,7
,So sad,10/23/2017 ,7
,Sad,12/31/2017 ,7
,Why?? so sad :(,5/5/2017 ,7
,Sad,1/28/2018 ,7
,How very sad.,7/23/2017 ,7
,Sad,1/10/2018 ,7
,So sad.,9/11/2017 ,7
,:( so sad.,7/3/2017,7
,Soooo sad,10/27/2017,7
,Sad.,1/3/2018 ,7
,So sad.,9/10/2017 ,7
,Awe how sad,9/10/2017 ,7
,So sad,7/23/2017 ,7
,So sad!,5/8/2017 ,7
,Very sad. Very sad indeed.,11/6/2017 ,7
,"So, so sad.",7/7/2017 ,7
,Sad,6/24/2017 ,7
,How sad.,7/31/2017 ,7
,How sad.,7/20/2017 ,7
,So sad. Please keep us updated.,6/25/2017 ,7
,So sad,5/29/2017 ,7
,How sad......truly sad,7/19/2017 ,7
,That is sad,9/10/2017,7
,"Very sad,",6/2/2017 ,7
,So sad... why were they alone? Very scary,9/13/2017 ,7
,sad :(,10/15/2017 ,7
,So very sad,8/29/2017,7
,So sad,12/15/2017 ,7
,So sad,1/17/2018 ,7
,So sad,10/13/2017 ,7
,That's such a sad sight.,9/10/2017 ,7
,Sad,9/13/2017,7
,Sad,11/20/2017 ,7
,Sad,9/18/2017 ,7
,It is so sad!,9/19/2017,7
,"It has been an active one foresure , that is what was forecasted. So sad",9/18/2017,7
,So sad,10/13/2017,7
,Sad!,1/20/2018,7
,Sad,10/27/2017,7
,That's so sad,12/5/2017 ,7
,So sad,9/10/2017 ,7
,So sad,12/4/2017,7
,Very sad,12/15/2017 ,7
,Very sad indeed,12/15/2017 ,7
,So sad !,1/26/2018 ,7
,So sad.,8/19/2017 ,7
,Very sad.,9/30/2017 ,7
,That's so Sad,10/11/2017,7
,How sad,6/25/2017 ,7
,So sad,9/27/2017 ,7
,So sad.,7/7/2017 ,7
,"So, so sad.",6/8/2017 ,7
,So sad!,7/7/2017 ,7
,So sad,6/8/2017 ,7
,Violent society. Sad.,6/28/2017 ,7
,So very sad,7/23/2017 ,7
,So sad!,9/10/2017 ,7
lol got right funny really sure nice oh cold yeah
,LOL!,9/10/2017 ,8
,Now the weekends complete. lol,5/14/2017 ,8
,Lol. #fakenews,12/15/2017 ,8
,lol,5/30/2017 ,8
,lol,5/9/2017 ,8
,Lol,5/21/2017 ,8
,Lol!!!! Pleeeaaassseee!!?!?,11/4/2017,8
,LOL,5/3/2017 ,8
,Lol!!!!!!,9/27/2017 ,8
,Lol,11/3/2017 ,8
,Lol,9/29/2017,8
,Lol,2/1/2018 ,8
,Lol rly? Cmon bud.,11/13/2017 ,8
,Lol no,8/22/2017 ,8
,Lol - ignorance?,8/22/2017,8
,Lol!!,12/21/2017 ,8
,LOL,1/30/2018 ,8
,And i wounder why thay block trumps travel ban lol,12/24/2017,8
,Lol,1/17/2018 ,8
,Lol,1/17/2018 ,8
,Lol,1/17/2018,8
,Triggered Libtards lol hahahahaha,1/29/2018,8
,Lol,12/21/2017 ,8
,lol,1/29/2018 ,8
,LOL,2/6/2018,8
,Lol,1/18/2018 ,8
,"lol, no, that's adding to the equation. Mass Transit is the solution. (Electro-Mag Vehicles)",12/2/2017,8
,Wear shoes lol,12/7/2017,8
,LOL,12/9/2017 ,8
,Lol,1/29/2018 ,8
,i have this energy everywhere internet thug lol,12/1/2017 ,8
,LOL,9/7/2017,8
,Wussies!! Lol,12/7/2017,8
,Noooo lol,1/22/2018,8
,Lol@my spelling,1/19/2018,8
,Lol..,1/8/2018 ,8
,Lol ukr,11/3/2017 ,8
,LOL,9/4/2017,8
,Lol,11/30/2017 ,8
,So who is next? lol,1/28/2018 ,8
,Lol what are you suggesting be Rob a bank? You see how unsuccessful this was?,12/7/2017 ,8
,Where are Marks ears...Lol..,11/1/2017,8
,LOL,12/7/2017 ,8
,LOL,8/23/2017 ,8
,Lol!!!!,12/28/2017,8
,That humidity tho. Lol,7/11/2017 ,8
,Me too 4ReUnitedStates lol #belleairbeach,9/11/2017 ,8
,Shitholes. Lol,2/3/2018 ,8
,Ain't mad lol,1/9/2018 ,8
,Lol indeed it is,11/9/2017 ,8
,LOL!,1/3/2018 ,8
,Lol,11/13/2017 ,8
,LOL!!,8/22/2017 ,8
,Lol,11/3/2017 ,8
,That's why I'm not holding my breath lol,10/18/2017 ,8
,Lol..,11/28/2017 ,8
,Lol tho,12/5/2017 ,8
,Lol,12/22/2017 ,8
,Lol.,12/10/2017,8
,@yellowcutee lol,1/11/2018 ,8
,Lol they fried that nigga lmfao,11/25/2017 ,8
,What lol,7/17/2017,8
,Lol ou kwè c vre ?,11/29/2017 ,8
,Lol... only howdy doody should wear them,1/15/2018 ,8
,Lol... He's your daddy now precious,1/15/2018 ,8
,#sexyfelon lol,1/24/2018 ,8
,lol,9/7/2017 ,8
,Lol leftist/sjw logic.,11/15/2017 ,8
,"Global warming is a b...... huh , LOL",1/3/2018,8
,Lol,8/9/2017 ,8
,married again lol,5/12/2017,8
,That uber hated us lol,1/9/2018 ,8
,Guardians of the galaxy lol,9/22/2017 ,8
,For stealing sneakers ... lol.,9/10/2017 ,8
,Lol... what?,11/9/2017 ,8
,Lol...,5/30/2017 ,8
,LOL! Mocha under the bed!,6/5/2017 ,8
,Lol,7/7/2017 ,8
,Lol,6/8/2017 ,8
,LOL?,9/10/2017 ,8
,lol,1/7/2018,8
,@sayluke @BrianHau55 lol,9/9/2017 ,8
,Lol,1/24/2018 ,8
,Lol!,9/10/2017 ,8
,Caryn and David are on the opposite side of me and the lunatic lol,11/5/2017 ,8
,So what his BFF Kim will bond him out lol,1/14/2018 ,8
,@iBellaNIEMA lol,1/5/2018 ,8
,Lol,1/1/2018 ,8
,Thugs lol,11/26/2017 ,8
,Mota? Lol,12/12/2017 ,8
,"Joda llave sera q le das viaje a ese slice, lol",1/31/2018 ,8
,Lol ight bro,10/29/2017,8
,Lol,8/21/2017 ,8
,Lol!!!,5/21/2017,8
,#LOL,12/14/2017 ,8
,Lol,11/21/2017 ,8
,bro you have 6 followers lol,1/30/2018 ,8
,Lol.,12/7/2017 ,8
,xD lol,8/21/2017,8
,Lol!,8/26/2017 ,8
like looks look sounds feel does really doesn trump guy
,Welp he like his drugs. Blame his prescriber,1/20/2018,9
,More like slowly torture them,11/10/2017 ,9
,More like f this!,1/20/2018 ,9
,I like!,12/1/2017,9
,like Linda Carter,5/31/2017 ,9
,Ugh. Tastes like rubbery fishy chicken,9/20/2017,9
,"so like what are hermaphrodites considered prof, like legit curiosity",11/15/2017,9
,His voice is like fingernails on a chalkboard.,1/14/2018 ,9
,highspeed subways above ground like in the NorthEast,1/9/2018 ,9
,More like hundreds upon hundreds,11/14/2017 ,9
,"Sniff sniff, smell like Identity theft to me & fraud...",12/6/2017 ,9
,So he lies like his boss,10/20/2017 ,9
,"BRUH. Lucy, why you gotta do me like that.",12/7/2017 ,9
,Was like this during Frederick,9/12/2017,9
,Like the DNC,11/14/2017 ,9
,I like it,1/14/2018 ,9
,I like it,1/2/2018 ,9
,like Moana?,10/17/2017 ,9
,Bcuz NEANDERTHALS like to breed their slaves.,1/23/2018 ,9
,Bitches be like,12/3/2017 ,9
,I'd moonwalk like a boss.,9/10/2017 ,9
,What? Onions wrapped in cream cheese and various meats but I like venison,11/13/2017,9
,it's like a Bigfoot sighting. @SteveSteviep76 @dinoherman_dino,8/3/2017 ,9
,Like rats,9/12/2017,9
,Oooo I like that!,7/1/2017,9
,but she’s not sounding like her usual self...,11/19/2017 ,9
,Can you move like that?,7/21/2017,9
,In 2020 would they reduce it? Seems like when a bill is raised it never lowers.,10/27/2017,9
,HAHAHA I am like THE commentator!,9/14/2017 ,9
,I like#1,12/2/2017 ,9
,I like her hair,12/6/2017 ,9
,Like your longer hair!,11/28/2017,9
,Like it’s not December,12/4/2017 ,9
,I like!,7/24/2017 ,9
,Like a boss,6/7/2017 ,9
,Much like most of his plays,12/27/2017 ,9
,In situations like this it is the most logical one.,12/6/2017,9
,#LiveTv #OldPeople #Smell Like #Armpits & #Avon,9/11/2017,9
,"I'm not too keen on ethnonationalism except in instances like European countries, and Asian countries like Japan",8/22/2017 ,9
,What in liberal territory like California?,5/31/2017 ,9
,I would like see someone through her in a garbage can.,11/30/2017,9
,"Well, gotta be a #LIB terrorist like #Portland .",6/5/2017 ,9
,Sound like. Excuse excuse excuse to me.,12/6/2017,9
,More like the $1.98 ho,7/20/2017,9
,"And yet in the U.S., babies this age are considered a “clump of cells” and can legally be murdered in the womb by monsters like @PPact .",11/14/2017,9
,because we like them,12/9/2017,9
,"Nah, why should they? It's not like they're supposed to have journalistic integrity.",5/16/2017 ,9
,I. Like it,10/30/2017,9
,"SW has always felt like the Truman"" movie to me!""",8/2/2017 ,9
,Windy like whoa in WPB,9/9/2017 ,9
,Do not like at all!,9/16/2017 ,9
,"Like Steve Schmidt, Richard Painter, or Nicole Wallace.",10/17/2017 ,9
,Like rats abandoning the sinking ship.,12/13/2017 ,9
,Biggie ... Libby ... who talks like that?,10/18/2017 ,9
,now squeel like a pig.,10/30/2017,9
,Older individuals may have worn fingerprints so this could be problematic. I like cards.,10/31/2017 ,9
,So you do like the Dolphins !!!,11/12/2017 ,9
,"I like the term festively plump.""""",10/12/2017 ,9
,Noooooooo I like shopping at Sam’s! Why are they closing?,1/12/2018 ,9
,Its almost like he is unqualified,10/17/2017 ,9
,He’s weak like you. Why hasn’t he imposed any sanctions?,1/31/2018 ,9
,Only like him on Mondays on the @LeBatardShow,1/12/2018 ,9
,Feels like 1 degree here in Wisconsin.,12/5/2017 ,9
,Who the ---- could do something like that?,10/26/2017 ,9
,It looked nothing like this,12/27/2017 ,9
,Nothing like quality dialogue.,1/17/2018 ,9
,I like,8/7/2017 ,9
,Taste like chicken?,10/26/2017 ,9
,They weren’t invited anyway. Nothing was withdrawn. That’s like firing someone after they quit.,9/23/2017 ,9
,Nothing like a hound,5/12/2017 ,9
,Shaped like a cross!,10/25/2017 ,9
,I like those odds,8/23/2017 ,9
,I LIKE MARK,1/28/2018,9
,Nothin like bein premature.,10/6/2017,9
,Can he like... not.,1/8/2018 ,9
,I like the Marlin restaurant.,8/25/2017 ,9
,IMO he's most like Ian Flemmings character,8/16/2017,9
,Nothing like quality construction.,1/15/2018 ,9
,Triple like.,2/2/2018,9
,Nope your pizza tastes like cardboard.,11/1/2017 ,9
,"Awe, I would be like finders keepers after rehab.",2/2/2018,9
,Like sooooo bitter,2/1/2018,9
,Like abortion? Hardly,12/12/2017 ,9
,Like the hermit crab eyes and hairbow? Or the jellyfish nose? I crack me up!,9/5/2017 ,9
,it's like a snowbird migration chart.,12/20/2017,9
,Like with everything else they will go overboard with this!!!!!!,10/5/2017 ,9
,Like??,7/17/2017 ,9
,we like to keep it interesting around here,6/1/2017 ,9
,"like now. obsessing over Zzzzzz,",11/21/2017,9
,Who would do something like this?,9/17/2017 ,9
,I like burgers that fit in your mouth.,1/24/2018 ,9
,Like what?,7/27/2017 ,9
,He was clapping for himself like a trained seal.,2/6/2018,9
,It's the anti Disneyland. I like it.,10/25/2017 ,9
,would you like some pizza with that?,6/30/2017 ,9
,like spit?,10/1/2017 ,9
,Reads like a threat.,5/12/2017 ,9
,Washed like zaza,5/29/2017 ,9
,Neutral like transmissions?,12/4/2017 ,9
,I do NOT like this show!! It should be removed from television.,5/16/2017 ,9
wplglocal10 wsvn nbc6 nowstillwatching cbsmiami miami marieaurelus67 abc laff netflix
,@WPLGLocal10,1/22/2018 ,10
,@WPLGLocal10 WHERE ARE THE PARROTS,9/11/2017,10
,@WPLGLocal10,10/17/2017 ,10
,@dawnadaire @WPLGLocal10 he is a turd!!,10/17/2017 ,10
,@NoAawazSharif @WPLGLocal10 What a contrast,12/7/2017,10
,@WPLGLocal10 pliers,6/6/2017 ,10
,@WPLGLocal10 GOODFRIDAYEVENNING,6/2/2017 ,10
,Iconic Palace Bar @ThePalaceSoBe officially reopens on #southbeach @WPLGLocal10,11/25/2017 ,10
,@WPLGLocal10,12/31/2017 ,10
,@momsatwork @LouDobbs #2A @WPLGLocal10 @Local4News #Apple,9/13/2017 ,10
,@WPLGLocal10 rash'em,9/23/2017 ,10
,@WPLGLocal10 please fix the focus on cameras,11/11/2017 ,10
,@RaynerPenaR Saludos.. ¿Tú tomaste el vídeo de Oscar Perez para @ElPitazoTV ? ¿Permiso para usarlo en @WPLGLocal10 con un crédito?,7/13/2017 ,10
,If this were a restaurant it'd be all over @WPLGLocal10,5/27/2017 ,10
,@WPLGLocal10 I'm in tears LMAO,8/3/2017 ,10
,@WPLGLocal10 hellllllll nahhhhhh,5/24/2017 ,10
,@WPLGLocal10 Betty Davis that dress is adorable!!!! #lookinggood,11/14/2017 ,10
,@WPLGLocal10 Jesus!,10/17/2017 ,10
,@WPLGLocal10 why is the AA arena wasting electricity!!,9/9/2017 ,10
,@AbcNews @WPLGLocal10 #ThisWeek #TWISF,8/6/2017,10
,@WPLGLocal10 @GlennaOn10 #TWISF #ThisWeek,8/1/2017 ,10
,#mindblown #ChrisFoerster #lostforwords @WillManso @WPLGLocal10,10/9/2017 ,10
,Was #keyword @WillManso @WPLGLocal10,5/29/2017 ,10
,@LOUISAGUIRRE ? Is that a sighting on @WPLGLocal10 ? Whaattt?,11/30/2017 ,10
,When you're drinking alone at @TarponBend_CG and @WPLGLocal10 is filming at your apartment,9/7/2017 ,10
,All the recruits behind @WillManso on @WPLGLocal10,11/11/2017 ,10
,@WPLGLocal10 yall some hoes,10/27/2017 ,10
,@WPLGLocal10 #ambulancechasers #fakenews #worststation,9/25/2017 ,10
,@WPLGLocal10 loves the #drama #knowyourfacts #tripadvisorliars #justwantsfreeatuff,9/23/2017 ,10
,@gelicmonkey @WPLGLocal10 sweetness.,9/9/2017 ,10
,@FAU_Football is undefeated in bowl games!! #cometothefaU @Lane_Kiffin @ESPNCFB @si_ncaafb @WPLGLocal10,12/19/2017 ,10
,@RepAsencio LuisDeRosa JudySchaechter @umiamimedicine @IanMargol @coweddle @MariliCancio @HTSmith8 @MarcACaputo #TWISF @WPLGLocal10,10/15/2017 ,10
,"Then, those ladies at @WPLGLocal10 have more cojones than @Go1denKoKKris , unbelievable!",8/2/2017 ,10
,@Stugotz790 @WPLGLocal10 What's poppin,9/9/2017 ,10
,@WPLGLocal10 legit.,9/6/2017,10
,"According to @Granma_Digital , no private sector licenses will be awarded to places where crimes have been committed. @WPLGLocal10",8/1/2017 ,10
,@MayorGimenez will be w/ @GlennaOn10 & Michael Putney discussing @MiamiDadeCounty transportation on @WPLGLocal10 #TWISF,7/22/2017 ,10
,@meghanchel @WPLGLocal10 Nothing about this clown surprises me any more.,10/17/2017 ,10
,@WPLGLocal10 I'm eating SkinnyPop too! #SurvivingIrma,9/9/2017 ,10
,@HGH2015 @WPLGLocal10 @AJCalloway Nope!,8/22/2017 ,10
,@WPLGLocal10 loving Laurie Jennings dress.,1/16/2018 ,10
,@WPLGLocal10 zonder reclames,9/10/2017 ,10
,@WPLGLocal10 already?,9/9/2017 ,10
,Suggestion: can you add a legend to the Radar graphic that indicates what the various colors represent? @WPLGLocal10,9/9/2017 ,10
,@WPLGLocal10,9/11/2017,10
,@WPLGLocal10 #wheresbarbie,9/10/2017 ,10
,The goat @WPLGLocal10,12/25/2017 ,10
,"2/there's more!: @coweddle in #Venezuela , @asgomez1 @univmiami ICCAS #Roundtable - @MariliCancio @TimPadgett2 HTSmith @FIU @WPLGLocal10 #TWISF",7/16/2017 ,10
,@MiamiSup @MadieIvesES @WPLGLocal10 @MDCPS,1/29/2018 ,10
,@WPLGLocal10 O IC,10/17/2017 ,10
,@BCPSChiefOSPA @Wildcats_Walker @WPLGLocal10 @makingitso,5/20/2017 ,10
,@WPLGLocal10,5/30/2017 ,10
,@WPLGLocal10,5/30/2017 ,10
,Here I am. @WPLGLocal10,8/8/2017,10
,Here I'm @WPLGLocal10,6/27/2017 ,10
,@WPLGLocal10 Greetings2 Everyone,12/22/2017,10
,How about an exclusive on the design? cc: @WPLGLocal10,5/24/2017,10
,@austenrillo @WPLGLocal10 so are our minds,9/4/2017 ,10
,#HappyNewYear @LOUISAGUIRRE @WPLGLocal10 to you all....,12/31/2017 ,10
,@WPLGLocal10 Kelly lied.,10/22/2017 ,10
,@WPLGLocal10,6/7/2017 ,10
,@WPLGLocal10 how dare you interrupt my Jeopardy.,6/6/2017 ,10
,@WPLGLocal10 I'm wondering the the sky10 Ariel Views are from a chopper or from a drone,9/11/2017 ,10
