,Unnamed: 0,'username','date','retweets','favorites','text','cleantext','is_retweet','ID','permalink','Translation',Category
2341,2341,AEEONLINE,2018-01-02 09:16:41,4,22,"Ahora: El jefe de Operaciones Técnicas de la AEE, Carlos Alvarado, habla con Rubén Sánchez en la Entrevista de Frente por WKAQ 580, sobre__NEWLINE__los trabajos de recuperación del sistema eléctrico en Puerro Rico. CC1 pic.twitter.com/udI1V5SbqO","Ahora: El jefe de Operaciones Técnicas de la AEE, Carlos Alvarado, habla con Rubén Sánchez en la Entrevista de Frente por WKAQ 580, sobre__NEWLINE__los trabajos de recuperación del sistema eléctrico en Puerro Rico. CC1 ",False,948196352877580289,/AEEONLINE/status/948196352877580289,"Now: The Chief of Technical Operations of the AEE, Carlos Alvarado, speaks with Rubén Sánchez in the Front Interview by WKAQ 580, about__NEWLINE__the recovery works of the electrical system in Puerro Rico. CC1 pic.twitter.com/udI1V5SbqO",2
16,16,AEEONLINE,2018-02-17 04:57:16,11,32,AEE repara importante línea para la isla - NOTICEL CC1 http://www. noticel.com/ahora/aee-repa ra-importante-lnea-para-toda-la-isla/702653858   …,AEE repara importante línea para la isla - NOTICEL CC1  noticel.com/ahora/aee-repa ra-importante-lnea-para-toda-la-isla/702653858   …,False,964800909959159808,/AEEONLINE/status/964800909959159808,AEE repairs important line for the island - NOTICEL CC1 http: // www. noticel.com/ahora/aee-repa ra-importante-line-for-all-the-island / 702653858 ...,2
896,896,AEEONLINE,2017-11-10 10:09:12,10,41,"Ahora: Director de Generaciòn AEE, Justo González, en entrevista en vivo con Maribel Meléndez Fontán de Telenoticias. pic.twitter.com/5susOal1gf","Ahora: Director de Generaciòn AEE, Justo González, en entrevista en vivo con Maribel Meléndez Fontán de Telenoticias. ",False,929003012345028609,/AEEONLINE/status/929003012345028609,"Now: Director of Generation AEE, Justo González, in live interview with Maribel Meléndez Fontán de Telenoticias. pic.twitter.com/5susOal1gf",2
199,199,AEEONLINE,2017-09-07 14:04:53,11,2,SECTORES SIN SERVICIO EN HORMIGUEROS. CC6 pic.twitter.com/dBRCDeChlt,SECTORES SIN SERVICIO EN HORMIGUEROS. CC6 ,False,905854399368613888,/AEEONLINE/status/905854399368613888,SECTORS WITHOUT SERVICE IN HORMRUERS. CC6 pic.twitter.com/dBRCDeChlt,1
415,415,AEEONLINE,2017-11-20 12:30:13,42,146,"Los trabajos continúan en Barceloneta. En esta ocasión, nuestro personal técnico trabaja en troncal para energizar un ""bolsillo"" en una comunidad. Continuamos comprometidos, hasta que nuestra Isla se ilumine.  #PRSeLevanta pic.twitter.com/FTCIpwTTBA","Los trabajos continúan en Barceloneta. En esta ocasión, nuestro personal técnico trabaja en troncal para energizar un ""bolsillo"" en una comunidad. Continuamos comprometidos, hasta que nuestra Isla se ilumine.  #PRSeLevanta ",False,932662377283284992,/AEEONLINE/status/932662377283284992,"The works continue in Barceloneta. On this occasion, our technical staff works in trunk to energize a ""pocket"" in a community. We remain committed, until our Island is enlightened. #PRSeLevanta pic.twitter.com/FTCIpwTTBA",2
1208,1208,AEEONLINE,2018-03-16 08:46:56,9,21,"RESUMEN del 15-3-18 (pm) - Contamos con 2,608 trabajadores en las líneas de distribución y 568 en las de transmisión. La generación para la fecha 90.8%  y 92.67% (1,352,065) clientes con servicio. __NEWLINE____NEWLINE__Continuamos con los trabajos de reparación del sistema... #unsoloequipo  CC6","RESUMEN del 15-3-18 (pm) - Contamos con 2,608 trabajadores en las líneas de distribución y 568 en las de transmisión. La generación para la fecha 90.8%  y 92.67% (1,352,065) clientes con servicio. __NEWLINE____NEWLINE__Continuamos con los trabajos de reparación del sistema... #unsoloequipo  CC6",False,974628078239535105,/AEEONLINE/status/974628078239535105,"SUMMARY 15-3-18 (pm) - We have 2,608 workers in the distribution lines and 568 in the transmission lines. Generation for the date 90.8% and 92.67% (1,352,065) customers with service. __NEWLINE____NEWLINE__We continue with the repair work of the system ... #unit equipment CC6",2
2445,2445,AEEONLINE,2017-08-31 17:09:56,0,0,Brigadas de personal técnico de @AEEONLINE  realizarán trabajos de mantenimiento preventivo programado al sistema eléctrico en Guaynabo. CC5,Brigadas de personal técnico de @AEEONLINE  realizarán trabajos de mantenimiento preventivo programado al sistema eléctrico en Guaynabo. CC5,False,903364254987931648,/AEEONLINE/status/903364254987931648,Brigades of technical personnel of @AEEONLINE will carry out scheduled preventive maintenance works on the electrical system in Guaynabo. CC5,2
268,268,AEEONLINE,2017-10-09 12:51:41,9,6,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Arecibo CC6 #AEEyacomenzamos  #PRSeLevanta pic.twitter.com/sKKpfd7INy,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Arecibo CC6 #AEEyacomenzamos  #PRSeLevanta ,False,917432390540292096,/AEEONLINE/status/917432390540292096,WHAT THE AEE BRIGADES ARE DOING - Arecibo Region CC6 #AEEyacommended #PRSeLevanta pic.twitter.com/sKKpfd7INy,2
1665,1665,AEEONLINE,2017-12-15 20:15:26,89,395,Energizan el 100% del Viejo San Juan - CC1 http://bit.ly/2ojqulw  ,Energizan el 100% del Viejo San Juan - CC1   ,False,941839148104609793,/AEEONLINE/status/941839148104609793,Energize 100% of Old San Juan - CC1 http://bit.ly/2ojqulw,2
1051,1051,AEEONLINE,2017-11-16 18:48:52,30,159,Brigadas del Distrito Técnico de Manatí realizan trabajos traspatio para así restablecer el servicio a más de 300 clientes. ¡Seguimos! #PRSeLevanta  CC6 pic.twitter.com/e56ZiFn7KL,Brigadas del Distrito Técnico de Manatí realizan trabajos traspatio para así restablecer el servicio a más de 300 clientes. ¡Seguimos! #PRSeLevanta  CC6 ,False,931308116863528960,/AEEONLINE/status/931308116863528960,Brigades of the Manatí Technical District carry out backyard work in order to restore service to more than 300 clients. We continue! #PRSeLevanta CC6 pic.twitter.com/e56ZiFn7KL,2
1681,1681,AEEONLINE,2017-11-03 09:37:49,47,156,Continúan los trabajos en la Región de Caguas; personal técnico trabaja la línea 3000 de Juncos a Las Piedras. CC6 #PRSeLevanta pic.twitter.com/XQBMzzSZDR,Continúan los trabajos en la Región de Caguas; personal técnico trabaja la línea 3000 de Juncos a Las Piedras. CC6 #PRSeLevanta ,False,926443298113380352,/AEEONLINE/status/926443298113380352,Work continues in the Caguas Region; technical staff works line 3000 from Juncos to Las Piedras. CC6 #PRSeLevanta pic.twitter.com/XQBMzzSZDR,2
1268,1268,AEEONLINE,2017-09-10 07:56:14,40,135,"Brigadas AEE trabajan para restaurar la infraestructura eléctrica en Culebra, tras el paso de Irma. CC1 #AEEyacomenzamos  #Huracanes pic.twitter.com/k3ErEcLjJ9","Brigadas AEE trabajan para restaurar la infraestructura eléctrica en Culebra, tras el paso de Irma. CC1 #AEEyacomenzamos  #Huracanes ",False,906848788119203840,/AEEONLINE/status/906848788119203840,"AEE Brigades work to restore the electrical infrastructure in Culebra, after the passage of Irma. CC1 #AEEyacommended #Hurricanes pic.twitter.com/k3ErEcLjJ9",2
2357,2357,AEEONLINE,2017-09-06 08:38:13,1,2,No es cierto; necesitamos que el sistema esté en servicio para poder conocer dónde están las deficiencias del mismo. CC6,No es cierto; necesitamos que el sistema esté en servicio para poder conocer dónde están las deficiencias del mismo. CC6,False,905409805065572353,/AEEONLINE/status/905409805065572353,It is not true; We need the system to be in service in order to know where the deficiencies of the system are. CC6,2
1733,1733,AEEONLINE,2017-11-03 12:01:10,18,69,Trabajos traspatio área de Mayagüez; continuamos nuestras labores para acelerar el restablecimiento del sistema ¡Seguimos! #PRSeLevanta  CC6 pic.twitter.com/EoqoZ4tm4k,Trabajos traspatio área de Mayagüez; continuamos nuestras labores para acelerar el restablecimiento del sistema ¡Seguimos! #PRSeLevanta  CC6 ,False,926479374420934657,/AEEONLINE/status/926479374420934657,Jobs backyard area of ​​Mayagüez; We continue our work to accelerate the restoration of the system. #PRSeLevanta CC6 pic.twitter.com/EoqoZ4tm4k,2
1072,1072,AEEONLINE,2017-09-07 14:02:40,11,4,SECTORES SIN SERVICIO EN HATILLO. CC6 pic.twitter.com/PzaERm6K0A,SECTORES SIN SERVICIO EN HATILLO. CC6 ,False,905853843598184449,/AEEONLINE/status/905853843598184449,SECTORS WITHOUT SERVICE IN HATILLO. CC6 pic.twitter.com/PzaERm6K0A,1
2552,2552,AEEONLINE,2017-12-10 12:42:08,6,30,[HOY] Trabajos de brigadas en las Regiones Ponce y Mayagüez. ¡Seguimos!  CC6 #PRSeLevanta pic.twitter.com/M0PHorunOk,[HOY] Trabajos de brigadas en las Regiones Ponce y Mayagüez. ¡Seguimos!  CC6 #PRSeLevanta ,False,939913135192006656,/AEEONLINE/status/939913135192006656,[TODAY] Works of brigades in the Ponce and Mayagüez Regions. We continue! CC6 #PRSeLevanta pic.twitter.com/M0PHorunOk,2
999,999,AEEONLINE,2018-03-25 12:36:08,5,5,"25-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce, y San Juan.  CC6 pic.twitter.com/x1tHXeCUbZ","25-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce, y San Juan.  CC6 ",False,977947251535503360,/AEEONLINE/status/977947251535503360,"03-25-2018 - WHAT THE BRIGADES ARE DOING ... Regions Mayagüez, Ponce, and San Juan. CC6 pic.twitter.com/x1tHXeCUbZ",2
2183,2183,AEEONLINE,2018-01-17 14:53:50,9,26,En estos lugares están las brigadas de la AEE hoy - NOTICEL CC1 http://www. noticel.com/ahora/en-estos -lugares-estn-las-brigadas-de-la-aee-hoy/687136575   …,En estos lugares están las brigadas de la AEE hoy - NOTICEL CC1  noticel.com/ahora/en-estos -lugares-estn-las-brigadas-de-la-aee-hoy/687136575   …,False,953717015885369344,/AEEONLINE/status/953717015885369344,In these places are the ESA brigades today - NOTICEL CC1 http: // www. noticel.com/ahora/en-estos -lugares-esta-las-brigadas-de-la-aee-hoy / 687136575 ...,2
2759,2759,AEEONLINE,2017-09-17 13:00:17,48,68,Director Ejecutivo: AEE traerà brigadas de Estados Unidos como apoyo para reestablecer el servicio elèctrico. CC1 #AEEHuracanes pic.twitter.com/Qcj4fvirRM,Director Ejecutivo: AEE traerà brigadas de Estados Unidos como apoyo para reestablecer el servicio elèctrico. CC1 #AEEHuracanes ,False,909462021887979520,/AEEONLINE/status/909462021887979520,Executive Director: AEE will bring brigades from the United States as support to reestablish the electric service. CC1 #AEEHuracanes pic.twitter.com/Qcj4fvirRM,2
1321,1321,AEEONLINE,2017-11-19 10:14:13,15,19,Trabajos que realizan hoy nuestras brigadas en la Región Arecibo. CC6 #PRSeLevanta pic.twitter.com/G5OqsJLs1H,Trabajos que realizan hoy nuestras brigadas en la Región Arecibo. CC6 #PRSeLevanta ,False,932265762428989440,/AEEONLINE/status/932265762428989440,Works carried out today by our brigades in the Arecibo Region. CC6 #PRSeLevanta pic.twitter.com/G5OqsJLs1H,2
580,580,AEEONLINE,2017-10-26 11:41:55,9,17,"Ricardo Ramos habla con Eliezer Ramos de Lo Sé Todo, sobre los trabajos en conjunto con compañías para levantar el sistema eléctrico. CC1 pic.twitter.com/NZFLoEHJ5s","Ricardo Ramos habla con Eliezer Ramos de Lo Sé Todo, sobre los trabajos en conjunto con compañías para levantar el sistema eléctrico. CC1 ",False,923575425384804353,/AEEONLINE/status/923575425384804353,"Ricardo Ramos talks with Eliezer Ramos of Lo Sé Todo, about working together with companies to raise the electrical system. CC1 pic.twitter.com/NZFLoEHJ5s",2
747,747,AEEONLINE,2017-10-18 08:16:26,3,8,CC1 pic.twitter.com/mfpt5O8mYZ,CC1 ,False,920624611510902785,/AEEONLINE/status/920624611510902785,CC1 pic.twitter.com/mfpt5O8mYZ,2
326,326,AEEONLINE,2017-10-19 08:43:19,5,13,CC1 pic.twitter.com/z9AHcW0a0P,CC1 ,False,920993765187313667,/AEEONLINE/status/920993765187313667,CC1 pic.twitter.com/z9AHcW0a0P,2
544,544,AEEONLINE,2017-09-21 10:55:22,116,220,"Rescate de ancianos en Levittown, TB por supervisor Feliciano de BTC... gracias. CC6 #AEEyacomenzamos pic.twitter.com/VKV7IyVVsp","Rescate de ancianos en Levittown, TB por supervisor Feliciano de BTC... gracias. CC6 #AEEyacomenzamos ",False,910880137427726341,/AEEONLINE/status/910880137427726341,"Rescue of elders in Levittown, TB by supervisor Feliciano of BTC ... thanks. CC6 #AEEyacomenzamos pic.twitter.com/VKV7IyVVsp",2
2039,2039,AEEONLINE,2017-10-12 12:03:36,13,15,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Caguas CC6 #AEEyacomenzamos  #PRSeLevanta pic.twitter.com/sglcwAIu0Q,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Caguas CC6 #AEEyacomenzamos  #PRSeLevanta ,False,918507453079318528,/AEEONLINE/status/918507453079318528,WHAT THE AEE BRIGADES ARE DOING - Caguas Region CC6 #AEEyacommended #PRSeLevanta pic.twitter.com/sglcwAIu0Q,2
2661,2661,AEEONLINE,2017-10-25 18:03:09,18,60,Trabajos realizados en Guayama por nuestro personal. #PRSeLenvanta  CC6 pic.twitter.com/uP8052eW15,Trabajos realizados en Guayama por nuestro personal. #PRSeLenvanta  CC6 ,False,923308977521332224,/AEEONLINE/status/923308977521332224,Works carried out in Guayama by our staff. #PRSeLenvanta CC6 pic.twitter.com/uP8052eW15,2
239,239,AEEONLINE,2017-11-26 13:13:49,15,64,"El director de Transmisión y Distribución AEE, Jose L Sepúlveda, habla con Telenoticias sobre los trabajos que se realizan en la línea 50900 que discurre desde la Central Aguirre hasta Aguas Buenas. CC1 pic.twitter.com/pw7fjM28pv","El director de Transmisión y Distribución AEE, Jose L Sepúlveda, habla con Telenoticias sobre los trabajos que se realizan en la línea 50900 que discurre desde la Central Aguirre hasta Aguas Buenas. CC1 ",False,934847676176371718,/AEEONLINE/status/934847676176371718,"The Director of Transmission and Distribution AEE, Jose L Sepúlveda, speaks with Telenoticias about the works that are carried out on line 50900 that runs from Central Aguirre to Aguas Buenas. CC1 pic.twitter.com/pw7fjM28pv",2
1926,1926,AEEONLINE,2018-03-31 19:03:44,0,0,Tiene Puerto Nuevo en Avenida Roosevelt y Monacillo. CC6,Tiene Puerto Nuevo en Avenida Roosevelt y Monacillo. CC6,False,980219120913436673,/AEEONLINE/status/980219120913436673,It has a New Port on Roosevelt Avenue and Monacillo. CC6,2
680,680,AEEONLINE,2017-09-11 08:43:08,0,1,Correcto,Correcto,False,907222980769579008,/AEEONLINE/status/907222980769579008,Right,2
2620,2620,AEEONLINE,2017-11-01 15:18:21,22,42,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta pic.twitter.com/waI8v1xbac,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta ,False,925804222754500609,/AEEONLINE/status/925804222754500609,Work done today by our brigades in the Bayamón Region. CC6 #PRSeLevanta pic.twitter.com/waI8v1xbac,2
2309,2309,AEEONLINE,2018-01-12 10:12:39,21,91,"Continúa el esfuerzo para que los municipios con menos de 20% de energía (Yabucoa, Maricao, Ciales, Naranjito, Aguas Buenas y Las Piedras), cuenten con mayor cantidad de sectores restablecidos. CC6","Continúa el esfuerzo para que los municipios con menos de 20% de energía (Yabucoa, Maricao, Ciales, Naranjito, Aguas Buenas y Las Piedras), cuenten con mayor cantidad de sectores restablecidos. CC6",False,951834316698505217,/AEEONLINE/status/951834316698505217,"The effort continues so that municipalities with less than 20% of energy (Yabucoa, Maricao, Ciales, Naranjito, Aguas Buenas and Las Piedras) have more restored sectors. CC6",2
1096,1096,AEEONLINE,2017-11-06 06:23:47,4,28,La delegación congresional inspecciona las dos Turbinas de la Central Palo Seco. CC1 pic.twitter.com/RRmAUyLEir,La delegación congresional inspecciona las dos Turbinas de la Central Palo Seco. CC1 ,False,927496733466218496,/AEEONLINE/status/927496733466218496,The congressional delegation inspects the two turbines of the Palo Seco plant. CC1 pic.twitter.com/RRmAUyLEir,2
278,278,AEEONLINE,2017-12-18 10:23:41,3,15,Lo que están haciendo las brigadas de la AEE __PIPE__ GOBIERNO __PIPE__  http://elvocero.com    CC1 http://www. elvocero.com/gobierno/lo-qu e-est-n-haciendo-las-brigadas-de-la-aee/article_55784b4a-e3fc-11e7-a420-2b7218496563.html   …,Lo que están haciendo las brigadas de la AEE __PIPE__ GOBIERNO __PIPE__      CC1  elvocero.com/gobierno/lo-qu e-est-n-haciendo-las-brigadas-de-la-aee/article_55784b4a-e3fc-11e7-a420-2b7218496563.html   …,False,942777393198006272,/AEEONLINE/status/942777393198006272,What the ESA brigades are doing __PIPE__ GOVERNMENT __PIPE__ http://elvocero.com CC1 http: // www. elvocero.com/gobierno/lo-qu e-est-n-haciendo-las-brigadas-de-la-aee / article_55784b4a-e3fc-11e7-a420-2b7218496563.html ...,2
2718,2718,AEEONLINE,2017-12-17 18:56:00,6,36,AEE presenta avances de la reparación del sistema eléctrico __PIPE__ Metro CC1 https://www. metro.pr/pr/noticias/20 17/12/17/aee-presenta-avances-la-reparacion-del-sistema-electrico.html   …,AEE presenta avances de la reparación del sistema eléctrico __PIPE__ Metro CC1  metro.pr/pr/noticias/20 17/12/17/aee-presenta-avances-la-reparacion-del-sistema-electrico.html   …,False,942543936341659648,/AEEONLINE/status/942543936341659648,AEE presents advances in the repair of the electrical system __PIPE__ Metro CC1 https: // www. metro.pr/pr/news/20 17/12/17 / aee-presenta-avances-la-reparacion-del-sistema-electrico.html ...,2
1189,1189,AEEONLINE,2018-03-01 12:03:42,185,152,"[AHORA] Director Ejecutivo, Justo González informa sobre evento en línea 50900 y detalles del restablecimiento del servicio eléctrico. __NEWLINE____NEWLINE__Seguimos... CC6 pic.twitter.com/yHcTzLg2Wr","[AHORA] Director Ejecutivo, Justo González informa sobre evento en línea 50900 y detalles del restablecimiento del servicio eléctrico. __NEWLINE____NEWLINE__Seguimos... CC6 ",False,969256880060104704,/AEEONLINE/status/969256880060104704,"[NOW] Executive Director, Justo González reports on 50900 online event and details of the restoration of electric service. __NEWLINE ____ NEWLINE__Follow us ... CC6 pic.twitter.com/yHcTzLg2Wr",2
258,258,AEEONLINE,2017-09-08 16:49:48,13,117,"Gracias a todos los compañeros por unirse y trabajar en equipo, un mejor Puerto Rico es posible. CC6 #AEEyacomenzamos  #AEEHuracanes pic.twitter.com/80maQ9lWzP","Gracias a todos los compañeros por unirse y trabajar en equipo, un mejor Puerto Rico es posible. CC6 #AEEyacomenzamos  #AEEHuracanes ",False,906258291747119104,/AEEONLINE/status/906258291747119104,"Thanks to all the partners for joining and working as a team, a better Puerto Rico is possible. CC6 #AEEyacommended #AEEHuracanes pic.twitter.com/80maQ9lWzP",2
2124,2124,AEEONLINE,2017-10-25 14:57:12,15,21,HOY - brigadas AEE - Región Ponce CC6 #PRSeLevanta pic.twitter.com/ObmDXTcztw,HOY - brigadas AEE - Región Ponce CC6 #PRSeLevanta ,False,923262183206805504,/AEEONLINE/status/923262183206805504,TODAY - AEE brigades - Ponce Region CC6 #PRSeLevanta pic.twitter.com/ObmDXTcztw,2
1705,1705,AEEONLINE,2018-03-09 16:15:29,0,4,"Ahora: el director ejecutivo AEE, Justo González, contesta preguntas de los moderadores sobre los trabajos que se realizan para energizar las intersecciones con semáforos en toda la Isla, siempre que estén funcionales y listos para recibir energía. CC1 pic.twitter.com/WTTn82sqwQ","Ahora: el director ejecutivo AEE, Justo González, contesta preguntas de los moderadores sobre los trabajos que se realizan para energizar las intersecciones con semáforos en toda la Isla, siempre que estén funcionales y listos para recibir energía. CC1 ",False,972219343542063105,/AEEONLINE/status/972219343542063105,"Now: the executive director AEE, Justo González, answers questions of the moderators on the works that are made to energize the intersections with traffic lights in all the Island, whenever they are functional and ready to receive energy. CC1 pic.twitter.com/WTTn82sqwQ",2
2766,2766,AEEONLINE,2017-10-19 15:35:33,25,49,"Estas turbinas de combustión, pertenecen a la División de Hidrogas y están ubicadas en el patio exterior ""área segura"" Central Palo Seco.CC6","Estas turbinas de combustión, pertenecen a la División de Hidrogas y están ubicadas en el patio exterior ""área segura"" Central Palo Seco.CC6",False,921097508847345664,/AEEONLINE/status/921097508847345664,"These combustion turbines, belong to the Division of Hydrogas and are located in the outdoor patio ""safe area"" Central Palo Seco.CC6",2
97,97,AEEONLINE,2017-10-24 17:19:56,60,70,Mapa - Cómo se están trabajando las líneas de transmisión secundarias para restablecer “la luz” en partes de la Isla. #PRSeLevanta   CC6 pic.twitter.com/EcPMI4Go1l,Mapa - Cómo se están trabajando las líneas de transmisión secundarias para restablecer “la luz” en partes de la Isla. #PRSeLevanta   CC6 ,False,922935714286899202,/AEEONLINE/status/922935714286899202,"Map - How secondary transmission lines are being worked on to restore ""light"" in parts of the Island. #PRSeLevanta CC6 pic.twitter.com/EcPMI4Go1l",2
848,848,AEEONLINE,2018-03-12 11:34:22,1,8,"12-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce, y San Juan.  CC6 pic.twitter.com/sYpgoT2u9V","12-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce, y San Juan.  CC6 ",False,973220662834810881,/AEEONLINE/status/973220662834810881,"12-3-2018 - WHAT THE BRIGADES ARE DOING ... Regions Mayagüez, Ponce, and San Juan. CC6 pic.twitter.com/sYpgoT2u9V",2
2702,2702,AEEONLINE,2017-12-14 09:47:47,16,19,[HOY] Trabajos de brigadas en la Región Bayamón. ¡Seguimos!  CC6 #PRSeLevanta pic.twitter.com/MVLRWQ9DoE,[HOY] Trabajos de brigadas en la Región Bayamón. ¡Seguimos!  CC6 #PRSeLevanta ,False,941318809339777024,/AEEONLINE/status/941318809339777024,[TODAY] Works of brigades in the Bayamón Region. We continue! CC6 #PRSeLevanta pic.twitter.com/MVLRWQ9DoE,2
625,625,AEEONLINE,2017-09-10 15:30:47,43,166,"Hemos solicitado actualización de averías por municipio;tan pronto nos entreguen la información, estaremos publicando. CC6 #AEEyacomenzamos","Hemos solicitado actualización de averías por municipio;tan pronto nos entreguen la información, estaremos publicando. CC6 #AEEyacomenzamos",False,906963180290748417,/AEEONLINE/status/906963180290748417,"We have requested update of breakdowns by municipality, as soon as they give us the information, we will be publishing. CC6 #AEEya we start",2
2260,2260,AEEONLINE,2017-10-19 17:56:57,11,21,HOY - brigadas AEE - Región Mayaguez CC6 #AEEyacomenzamos  #PRSeLevanta pic.twitter.com/eHxm5c3xmY,HOY - brigadas AEE - Región Mayaguez CC6 #AEEyacomenzamos  #PRSeLevanta ,False,921133092588474368,/AEEONLINE/status/921133092588474368,TODAY - AEE brigades - Mayaguez Region CC6 #AEEyacommended #PRSeLevanta pic.twitter.com/eHxm5c3xmY,2
1944,1944,AEEONLINE,2017-09-04 10:29:57,0,1,"Gracias por la información, el sector está reportado y en turno para atenderse. CC5","Gracias por la información, el sector está reportado y en turno para atenderse. CC5",False,904713145968680966,/AEEONLINE/status/904713145968680966,"Thanks for the information, the sector is reported and in turn to attend. CC5",2
2810,2810,AEEONLINE,2017-09-06 09:35:16,0,0,Agradecemos nos provea su#de cuenta o nombre completo del dueño de la cuenta para ayudarle con su querella. CC5,Agradecemos nos provea su#de cuenta o nombre completo del dueño de la cuenta para ayudarle con su querella. CC5,False,905424162147229697,/AEEONLINE/status/905424162147229697,We appreciate you providing us with your account # or full name of the owner of the account to help you with your complaint. CC5,2
640,640,AEEONLINE,2017-09-01 06:19:59,0,0,"Gracias por la información, el sector está reportado y en turno para atenderse. CC5","Gracias por la información, el sector está reportado y en turno para atenderse. CC5",False,903563077723062272,/AEEONLINE/status/903563077723062272,"Thanks for the information, the sector is reported and in turn to attend. CC5",2
1314,1314,AEEONLINE,2018-02-10 18:56:16,2,13,10-2-2018 - Sectores  restablecidos en el día de hoy (hasta 5:30 pm). CC6 pic.twitter.com/jbsOG92wIg,10-2-2018 - Sectores  restablecidos en el día de hoy (hasta 5:30 pm). CC6 ,False,962475334980562944,/AEEONLINE/status/962475334980562944,10-2-2018 - Sectors restored today (until 5:30 pm). CC6 pic.twitter.com/jbsOG92wIg,2
1533,1533,AEEONLINE,2018-03-24 18:18:22,6,25,24-3-2018 - Sectores restablecidos en el día de hoy (hasta 5:00 pm). __NEWLINE____NEWLINE__Seguimos... CC6 pic.twitter.com/UkNtAzz1QG,24-3-2018 - Sectores restablecidos en el día de hoy (hasta 5:00 pm). __NEWLINE____NEWLINE__Seguimos... CC6 ,False,977670988698669056,/AEEONLINE/status/977670988698669056,03-24-2018 - Sectors restored today (until 5:00 pm). __NEWLINE ____ NEWLINE__Follow us ... CC6 pic.twitter.com/UkNtAzz1QG,2
732,732,AEEONLINE,2017-09-30 15:36:45,12,30,La AEE instalará generadores de energía en Palo Seco - CC1 http://bit.ly/2wp0pkA  ,La AEE instalará generadores de energía en Palo Seco - CC1   ,False,914212438723239939,/AEEONLINE/status/914212438723239939,PREPA will install power generators in Palo Seco - CC1 http://bit.ly/2wp0pkA,2
1351,1351,AEEONLINE,2018-02-10 19:34:24,2,11,Por estas zonas están las brigadas de la AEE hoy __PIPE__ Metro CC1 https://www. metro.pr/pr/noticias/20 18/02/10/estas-zonas-estan-las-brigadas-la-aee-hoy.html   …,Por estas zonas están las brigadas de la AEE hoy __PIPE__ Metro CC1  metro.pr/pr/noticias/20 18/02/10/estas-zonas-estan-las-brigadas-la-aee-hoy.html   …,False,962484933347434496,/AEEONLINE/status/962484933347434496,In these areas are the ESA brigades today __PIPE__ Metro CC1 https: // www. metro.pr/pr/news/20 18/02/10 / these-zones-are-the-brigades-the-aee-hoy.html ...,2
779,779,AEEONLINE,2017-12-22 17:54:20,9,31,AEE ACTUALIZA LOS TRABAJOS DE RECUPERACIÓN DEL SISTEMA ELÉCTRICO CC6 pic.twitter.com/WbzniBBK1k,AEE ACTUALIZA LOS TRABAJOS DE RECUPERACIÓN DEL SISTEMA ELÉCTRICO CC6 ,False,944340354249252864,/AEEONLINE/status/944340354249252864,AEE UPDATES THE RECOVERY WORKS OF THE CC6 ELECTRICAL SYSTEM pic.twitter.com/WbzniBBK1k,2
2629,2629,AEEONLINE,2018-02-23 09:21:17,7,37,Casi en 90 por ciento clientes AEE con electricidad __PIPE__ Metro CC1 https://www. metro.pr/pr/noticias/20 18/02/23/casi-90-ciento-clientes-aee-electricidad.html   …,Casi en 90 por ciento clientes AEE con electricidad __PIPE__ Metro CC1  metro.pr/pr/noticias/20 18/02/23/casi-90-ciento-clientes-aee-electricidad.html   …,False,967041679986446336,/AEEONLINE/status/967041679986446336,Nearly 90 percent of AEE clients with electricity __PIPE__ Metro CC1 https: // www. metro.pr/pr/noticias/20 18/02/23 / casi-90-ciento-clientes-aee-electricidad.html ...,8
1504,1504,AEEONLINE,2018-03-10 12:34:08,4,9,"10-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce, y San Juan.  CC6 pic.twitter.com/17XObP10A1","10-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce, y San Juan.  CC6 ",False,972526027208577024,/AEEONLINE/status/972526027208577024,"10-3-2018 - WHAT THE BRIGADES ARE DOING ... Regions Mayagüez, Ponce, and San Juan. CC6 pic.twitter.com/17XObP10A1",2
453,453,AEEONLINE,2017-08-30 20:20:30,0,0,Le afectan relevos de carga para estabilizar el sistema en el pico de demanda. Tendrán una duración aproximada de 2 horas. CC5,Le afectan relevos de carga para estabilizar el sistema en el pico de demanda. Tendrán una duración aproximada de 2 horas. CC5,False,903049823921852416,/AEEONLINE/status/903049823921852416,They are affected by load relays to stabilize the system at peak demand. They will last approximately 2 hours. CC5,2
