content,Code #,category,ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Subcode,,unk,directed,hashtag,geocode,source,,,
Read the article and you'll see they are scouting locations to do this again on Thursday,,0,,0.7162600121,62642,WPLGLocal10,,9/13/17,9/13/2017 0:00,11:20:00 AM,0,2,,,,,,,9.08E+017,https://twitter.com/WPLGLocal10/status/907987482133835776,,,
Did you just talk about him? Or did he get out? How does this make you a better person? Seriously.,,0,,0.5127017138,27397,IM_iKat,,9/11/17,9/11/2017 0:00,9:08:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/IM_iKat/status/907229337547657216,,,
The mainstream media won't plaster this all over every social media outlet because they want to keep the race war going...,,0,,0.2366551248,13202,cerron53,,9/11/17,9/11/2017 0:00,8:24:00 PM,1,1,,,,,,,9.07E+017,https://twitter.com/cerron53/status/907399432425144320,,,
Stay safe! Thinking of you!,,0,,0.1238829086,51588,SarahBuduson,,9/8/17,9/8/2017 0:00,11:30:00 AM,0,1,,,,,,,9.06E+017,https://twitter.com/SarahBuduson/status/906178040933359616,,,
"This is in suburban Lake Worth""",,0,,0.7316137715,61418,WesBlackman,,9/18/17,9/18/2017 0:00,4:48:00 PM,0,0,,,," to not confuse your viewers (not @LakeWorthPBC ): http:// wesblackman.blogspot.com/2017/06/are-yo u-reporter-confused-about-where.html â€¦ @KaraDuffyCBS12 #LakeWorth @CBS12 https:// twitter.com/CBS12/status/9 09775495184646145 â€¦""",,@LakeWorthPBC @KaraDuffyCBS12 @CBS12,#LakeWorth,9.1E+017,https://twitter.com/WesBlackman/status/909881820283588609,,
You didn't do anything!,,0,,0.7194922848,38492,MarthaWashing10,,9/10/17,9/10/2017 0:00,3:24:00 PM,0,2,,,,,,,9.07E+017,https://twitter.com/MarthaWashing10/status/906961702801035264,,,
Krispy Kreme announces pumpkin spice doughnut http:// on.wtsp.com/2gp1fXE pic.twitter.com/NLZQiPXqmQ,,0,,0.9089410532,2252,10NewsWTSP,,9/1/17,9/1/2017 0:00,11:12:00 AM,3,6,,,,,,,9.04E+017,https://twitter.com/10NewsWTSP/status/903636610364923904,,,
"Is an underwater [ocean] earthquake the only thing that can create a TSUNAMI? Low water level along shoreline first sign""? #Lakeland #FL""",,0,,0.6518238042,56684,TerPinCha89,,9/10/17,9/10/2017 0:00,4:27:00 PM,0,1,,,,,,#Lakeland #FL,9.07E+017,https://twitter.com/TerPinCha89/status/906977428140183552,,,
Just in time for evening commute! @HeraldTribune @10NewsWTSP @FOX13News @mysuncoast @SarasotaSheriff @sun_port @SNNTV @WFLA @abcactionnews,,0,,0.7273882639,54195,SRQCountyGov,,9/14/17,9/14/2017 0:00,5:30:00 PM,0,0,,,,,@HeraldTribune @10NewsWTSP @FOX13News @mysuncoast @SarasotaSheriff @sun_port @SNNTV @WFLA @abcactionnews,,9.08E+017,https://twitter.com/SRQCountyGov/status/908442864992038914,,,
â€ â€ â€ â€ https://www. youtube.com/watch?v=2yGepU Kw4SI â€¦,,0,,0.5499791528,45930,OwnerCEOofFFI,,9/23/17,9/23/2017 0:00,8:55:00 AM,0,0,,,,,,,9.12E+017,https://twitter.com/OwnerCEOofFFI/status/911574710764343297,,,
Lol. This could be anywhere or anytime.,,0,,0.0006871319,31140,jonny5crypto,,9/11/17,9/11/2017 0:00,1:17:00 PM,1,2,,,,,,,9.07E+017,https://twitter.com/jonny5crypto/status/907291973085745153,,,
Get out of there.,,0,,0.3950742675,13777,chrismccreery,,9/10/17,9/10/2017 0:00,4:23:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/chrismccreery/status/906976468005277696,,,
"@news6wkmg from @WESH2SummerK Summer Knowles If you see it, REPORT IT!!! (866)-9-NO-SCAM",,0,,0.0622088089,67128,YankeeRonII,,9/7/17,9/7/2017 0:00,5:59:00 PM,0,0,,,,,@news6wkmg @WESH2SummerK,,9.06E+017,https://twitter.com/YankeeRonII/status/905913459845586945,,,
Great job by all the local TV stations keeping the citizens informed @WESH @news6wkmg @WFTV @MyNews13 @Fox35News,,0,,0.6317000108,31272,JOSELUISDIEPPA,,9/11/17,9/11/2017 0:00,1:42:00 AM,1,2,,,,,@WESH @news6wkmg @WFTV @MyNews13 @Fox35News,,9.07E+017,https://twitter.com/JOSELUISDIEPPA/status/907117219754246145,,,
"At some point, they are likely to revert the southbound lanes to northbound. At least on the turnpike. Hopefully.",,0,,0.391467385,43008,natsukashiizero,,9/7/17,9/7/2017 0:00,5:02:00 PM,0,1,,,,,,,9.06E+017,https://twitter.com/natsukashiizero/status/905899002410958849,,,
@mysuncoast . Ashton Woods builder did not secure roof tiles and other building materials in Rosedale. Will be projectiles.,,0,,0.0340366791,25003,Gpubrel,,9/10/17,9/10/2017 0:00,4:07:00 PM,0,0,,,,,@mysuncoast,,9.07E+017,https://twitter.com/Gpubrel/status/906972310170726403,,,
pic.twitter.com/NCPtwUHnd7,,0,,0.8659397508,17134,debbie_pasquale,,9/4/17,9/4/2017 0:00,2:07:00 PM,0,0,,,,,,,9.05E+017,https://twitter.com/debbie_pasquale/status/904767886929121281,,,
Yes!! A couple! And they should not be out here! Very dangerous!,,0,,0.3912686573,44821,NicolePerezWPLG,,9/10/17,9/10/2017 0:00,11:46:00 AM,1,0,,,,,,,9.07E+017,https://twitter.com/NicolePerezWPLG/status/906906623372939264,,,
pic.twitter.com/u0ILlEKVqN,,0,,0.1899485286,18267,DominiqPeters,,9/10/17,9/10/2017 0:00,4:12:00 AM,9,159,,,,,,,9.07E+017,https://twitter.com/DominiqPeters/status/906792551235166208,,,
OH. MY. GOSH. @Chelsi0517,,0,,0.5828780484,16004,cynthiadunne_,,9/11/17,9/11/2017 0:00,5:25:00 PM,0,0,,,,,@Chelsi0517,,9.07E+017,https://twitter.com/cynthiadunne_/status/907354399164571648,,,
Thank you!,,0,,0.2623283596,53067,shewillrise81,,9/10/17,9/10/2017 0:00,4:35:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/shewillrise81/status/906979378579562497,,,
Terrible.,,0,,0.0069839394,5995,ApplePasta,,9/2/17,9/2/2017 0:00,6:47:00 PM,0,0,,,,,,,9.04E+017,https://twitter.com/ApplePasta/status/904113641926135808,,,
Amazing job!!! https:// twitter.com/BSO_Mike/statu s/906687349819678720 â€¦,,0,,0.7328131663,66070,wsvn,,9/9/17,9/9/2017 0:00,9:22:00 PM,14,46,,,,,,,9.07E+017,https://twitter.com/wsvn/status/906689361999286272,,,
"Starts at 3pm - http://www. sun-sentinel.com/news/weather/h urricane/fl-pn-hurricane-irma-palm-friday-20170908-story,amp.html â€¦",,0,,0.4154272434,46605,Peacefuldog,,9/9/17,9/9/2017 0:00,11:50:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/Peacefuldog/status/906545269373882368,,,
Where r these apts? Address?,,0,,0.6264964559,34032,KrissyNe14tns,,9/11/17,9/11/2017 0:00,2:50:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/KrissyNe14tns/status/907134234791497728,,,
It's odd that the date and time at the top of this report is several hours from now. pic.twitter.com/eebrnCSmI0,,0,,0.878421028,47449,pjolde,,9/7/17,9/7/2017 0:00,1:58:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/pjolde/status/905852829956534272,,,
"Because it is not on the public right-of-way, our crew would not be removing it. Please see link. http://www. coralsprings.org/government/oth er-departments-and-services/community-development/environment/trees â€¦ . Thank you.",,0,,0.0754324938,15024,CoralSpringsFL,,9/10/17,9/10/2017 0:00,10:04:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/CoralSpringsFL/status/906881131500511232,,,
. @nbc6 . @wsvn . @CBSMiami . @WPLGLocal10 - NSU UPDATE as of Mon. Sept. 8 pic.twitter.com/yosI2t8zqj,,0,,0.7868729234,45187,NSUnews,,9/8/17,9/8/2017 0:00,10:09:00 AM,0,1,,,,,@nbc6 @wsvn @CBSMiami @WPLGLocal10,,9.06E+017,https://twitter.com/NSUnews/status/906157506875072514,,,
What do the hurricane classifications mean? http:// dlvr.it/Pkz6tC pic.twitter.com/OC4PLWhkrC,,0,,0.9462737759,44284,news6wkmg,,9/5/17,9/5/2017 0:00,12:33:00 PM,4,2,,,,,,,9.05E+017,https://twitter.com/news6wkmg/status/905106596975452160,,,
@TB_Times @FOX13News #orlandosentinal #Florida #VoteTrumpFL #TrumpTrain #s #SunshineState pic.twitter.com/Hwri57nG8k,,0,,0.1913575365,16951,dbarry_,,9/17/17,9/17/2017 0:00,1:50:00 PM,0,0,,,,,@TB_Times @FOX13News,#orlandosentinal #Florida #VoteTrumpFL #TrumpTrain #s #SunshineState,9.09E+017,https://twitter.com/dbarry_/status/909474754062512129,,,
Love it! https:// twitter.com/MiamiDadePD/st atus/907699796458262530 â€¦,,0,,0.7616553176,65969,wsvn,,9/12/17,9/12/2017 0:00,4:56:00 PM,69,147,,,,,,,9.08E+017,https://twitter.com/wsvn/status/907709492065964033,,,
Thatâ€™s niceâ€¦.,,0,,0.3748658423,40325,michnic70,,9/26/17,9/26/2017 0:00,5:57:00 AM,0,0,,,,,,,9.13E+017,https://twitter.com/michnic70/status/912617027189268480,,,
Best of luck!,,0,,0.1122742257,7226,BaltimoreMD,,9/28/17,9/28/2017 0:00,12:24:00 PM,0,2,,,,,,,9.13E+017,https://twitter.com/BaltimoreMD/status/913439292940267526,,,
He's a goofy little cat,,0,,0.3203538785,35936,Lizzy_Schatz,,9/5/17,9/5/2017 0:00,6:34:00 PM,0,1,,,,,,,9.05E+017,https://twitter.com/Lizzy_Schatz/status/905197535047950336,,,
,,0,,0.2777843895,24242,GCando1,,9/10/17,9/10/2017 0:00,2:24:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/GCando1/status/906765378008875009,,,
#TRAFFIC : Beeline Hwy. shut down in both directions from PGA Blvd. to Northlake Blvd. http:// bit.ly/2vHmL4m pic.twitter.com/jLdQ4ZsJMG,,0,,0.1430900681,64059,WPTV,,9/5/17,9/5/2017 0:00,6:10:00 AM,2,1,,,,,,#TRAFFIC,9.05E+017,https://twitter.com/WPTV/status/905010128918892544,,,
#WANTED @CBSMiami @nbc6 @wsvn @WPLGLocal10 @Univision23 @Telemundo51 @MiamiHerald @MiamiNewTimes @MiamiDadePD @MiamiPD @MiamiBeachPD https:// twitter.com/mgpdfl/status/ 913742583326797825 â€¦,,0,,0.7418735185,39803,MGPDFL,,9/29/17,9/29/2017 0:00,8:43:00 AM,0,0,,,,,@CBSMiami @nbc6 @wsvn @WPLGLocal10 @Univision23 @Telemundo51 @MiamiHerald @MiamiNewTimes @MiamiDadePD @MiamiPD @MiamiBeachPD,#WANTED,9.14E+017,https://twitter.com/MGPDFL/status/913745994013200384,,,
That's utterly inhuman! What a horrible horrible thing to do!!!!,,0,,0.8633787101,19025,dwbiega,,9/10/17,9/10/2017 0:00,1:25:00 PM,0,2,,,,,,,9.07E+017,https://twitter.com/dwbiega/status/906931549685383168,,,
I know. We've been watching @Eric_Roby and @CBS12 from the beginning of this. Also the @weatherchannel great coverage @Eric_Roby keep it up. https:// twitter.com/eric_roby/stat us/906494333720956928 â€¦,,0,,0.9240682528,65256,WrestleJupiter,,9/9/17,9/9/2017 0:00,8:36:00 AM,0,1,,,,,@Eric_Roby @CBS12 @weatherchannel @Eric_Roby,,9.06E+017,https://twitter.com/WrestleJupiter/status/906496548195926018,,,
"THANK U @DwyaneWade ,I LOST MY FOOTBALL TEAM 5 YEARS AGO & DIDN'T WANT 2 LOOSE MY BASKETBALL 1!NOW U MIGHT GET UR #RETIRED BY UR FRIENDS!",,0,,0.7222079576,61517,wherrera72,,9/26/17,9/26/2017 0:00,11:36:00 PM,0,0,,,,,@DwyaneWade,#RETIRED,9.13E+017,https://twitter.com/wherrera72/status/912883676136042496,,,
Its safe to say this is AUTOLINE ?,,0,,0.888696564,47374,Pinesrob,,9/15/17,9/15/2017 0:00,10:23:00 AM,0,0,,,,,,,9.09E+017,https://twitter.com/Pinesrob/status/908697909100728321,,,
A lot of stations installed Generators check when you fill up,,0,,0.2142446632,59770,Vicki4florida,,9/5/17,9/5/2017 0:00,5:31:00 PM,0,0,,,,,,,9.05E+017,https://twitter.com/Vicki4florida/status/905181679798628352,,,
Yes it's a V.I.P! VERY IMPORTANT POTTY!,,0,,0.1165281163,57859,tm_sweetT,,9/8/17,9/8/2017 0:00,7:42:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/tm_sweetT/status/906301768828702725,,,
@wsvn @belkysnerey @RobbinSimmons7 @lmartinez7 Broward County Elections Head Brenda Snipes Corrupt like the @DNC & @DWStweets report !!! https:// twitter.com/mitchellvii/st atus/903324657067188224 â€¦,,0,,0.0063899642,67412,yosemite1982,,9/1/17,9/1/2017 0:00,6:55:00 AM,0,0,,,,,@wsvn @belkysnerey @RobbinSimmons7 @lmartinez7 @DNC @DWStweets,,9.04E+017,https://twitter.com/yosemite1982/status/903571967529373699,,,
"CSX worker on scene says no trains should run through here for at least 2 days."" He's manually removing the crossing arms @10NewsWTSP pic.twitter.com/W6z32wAGJa""",,0,,0.5552839852,31356,joshsidorowicz,,9/11/17,9/11/2017 0:00,1:26:00 PM,3,3,,,,,@10NewsWTSP,,9.07E+017,https://twitter.com/joshsidorowicz/status/907294236101496836,,,
Hillary?,,0,,0.5225516894,60165,Walking_Ghost,,9/7/17,9/7/2017 0:00,8:08:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/Walking_Ghost/status/905945932793081860,,,
Stay safe!,,0,,0.3515290838,28093,j_orsillo,,9/9/17,9/9/2017 0:00,9:33:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/j_orsillo/status/906510950672551936,,,
How is this racist ? Sensitive people,,0,,0.5103626668,21830,Fossill321,,9/29/17,9/29/2017 0:00,1:26:00 PM,0,0,,,,,,,9.14E+017,https://twitter.com/Fossill321/status/913817290889744384,,,
Fake ass Joe Arpaio lol,,0,,0.0372920043,56017,Tampa_Joe_813,,9/6/17,9/6/2017 0:00,4:24:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/Tampa_Joe_813/status/905527045786087424,,,
That's a lot of scalp,,0,,0.1689258234,39341,MeghanWPTV,,9/14/17,9/14/2017 0:00,9:19:00 PM,0,2,,,,,,,9.09E+017,https://twitter.com/MeghanWPTV/status/908500382124527618,,,
This shot tho!!!!,,0,,0.4568581983,34010,KREMTony,,9/13/17,9/13/2017 0:00,9:02:00 AM,0,0,,,,,,,9.08E+017,https://twitter.com/KREMTony/status/907952731742261249,,,
"no lines in Wellesley, Massachusetts! JK",,0,,0.8598910527,55939,TalktoCali,,9/6/17,9/6/2017 0:00,12:00:00 PM,0,2,,,,,,,9.05E+017,https://twitter.com/TalktoCali/status/905460586514919425,,,
".monitoring, not closing. Big difference. At this time",,0,,0.9965848806,34200,ktk985dotcom,,9/13/17,9/13/2017 0:00,12:35:00 PM,0,0,,,," I-75 remains safe and passable.""""",,,,9.08E+017,https://twitter.com/ktk985dotcom/status/908006114079461376,,
Looks great...EXCEPT for that Cubs game. Go #STLCards ! ;),,0,,0.8841695926,13388,chasesnider,,9/9/17,9/9/2017 0:00,9:43:00 PM,0,1,,,,,,#STLCards,9.07E+017,https://twitter.com/chasesnider/status/906694618527477765,,,
@FOX13News why is Alcedes not directing the man with the bike to shelter!!!!,,0,,0.0315921757,62009,WonderMom06,,9/10/17,9/10/2017 0:00,9:32:00 AM,0,0,,,,,@FOX13News,,9.07E+017,https://twitter.com/WonderMom06/status/906873101656510464,,,
Thank you! Ditto!,,0,,0.7620238908,34778,LaurenLane7,,9/4/17,9/4/2017 0:00,11:08:00 AM,0,1,,,,,,,9.05E+017,https://twitter.com/LaurenLane7/status/904722874958839808,,,
,,0,,0.9734981565,27031,iamjusticelane,,9/9/17,9/9/2017 0:00,8:18:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/iamjusticelane/status/906673084198944768,,,
Thankyou have retweeted,,0,,0.6407169292,48458,rangir53,,9/6/17,9/6/2017 0:00,11:09:00 PM,1,1,,,,,,,9.06E+017,https://twitter.com/rangir53/status/905629144720932866,,,
"Jetsâ€™ Forte out vs. @Jaguars , Wilkerson questionable http:// wsvn.com/sports/jets-fo rte-out-vs-jaguars-wilkerson-questionable/ â€¦",,0,,0.4263561355,65383,wsvn,,9/29/17,9/29/2017 0:00,3:01:00 PM,3,0,,,,,@Jaguars,,9.14E+017,https://twitter.com/wsvn/status/913841272623951872,,,
Delray Beach man gets life sentence for shooting friend during argument in 2015 http:// bit.ly/2k1x6CV pic.twitter.com/NcWbFrXBOh,,0,,0.2842880856,63262,WPTV,,9/27/17,9/27/2017 0:00,4:33:00 AM,0,1,,,,,,,9.13E+017,https://twitter.com/WPTV/status/912958238806757376,,,
Great news. I hope they stay safe,,0,,0.6943800824,34101,KristenSwilley,,9/10/17,9/10/2017 0:00,10:30:00 AM,0,1,,,,,,,9.07E+017,https://twitter.com/KristenSwilley/status/906887514614628356,,,
Gov. Rick Scott wants to young immigrants to stay http:// on.wtsp.com/2etbMR0 pic.twitter.com/sYVvRUbDig,,0,,0.4673446191,2164,10NewsWTSP,,9/2/17,9/2/2017 0:00,1:01:00 PM,1,1,,,,,,,9.04E+017,https://twitter.com/10NewsWTSP/status/904026413925359617,,,
300 bats caught by janitors at Salt Lake City high school. http:// bit.ly/2wKMCUF pic.twitter.com/AVh7Uac5lf,,0,,0.4481098385,11440,CBS12,,9/21/17,9/21/2017 0:00,8:26:00 PM,1,4,,,,,,,9.11E+017,https://twitter.com/CBS12/status/911023894496256001,,,
That's just too cool! Love you guys!,,0,,0.8253765998,8218,BigDogCSI,,9/10/17,9/10/2017 0:00,5:58:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/BigDogCSI/status/907000393275727872,,,
FHP says the Mustang driver violated the right of way and crashed into the trapper's pickup truck. What we know: http://www. fox13news.com/news/local-new s/fhp-alligator-trapper-dies-in-pasco-county-crash â€¦ https:// twitter.com/FOX13News/stat us/913734817619038210 â€¦,,0,,0.3682281276,22570,FOX13News,,9/29/17,9/29/2017 0:00,8:03:00 AM,3,2,,,,,,,9.14E+017,https://twitter.com/FOX13News/status/913736019152949248,,,
He wasn't going to begin with so....,,0,,0.5696871246,277,_shehatesme_,,9/23/17,9/23/2017 0:00,5:07:00 PM,0,2,,,,,,,9.12E+017,https://twitter.com/_shehatesme_/status/911698620449255424,,,
Should I stay here or go to Orlando? Help,,0,,0.9934490533,32384,karenborton,,9/8/17,9/8/2017 0:00,7:31:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/karenborton/status/906299082414727168,,,
We are open in Bradenton at #willyyums Hometown Hotdog Joint @snn @1079wsrz @mysuncoast 9412436906,,0,,0.078444564,61822,WillyYums,,9/11/17,9/11/2017 0:00,2:27:00 PM,0,0,,,,,@snn @1079wsrz @mysuncoast,#willyyums,9.07E+017,https://twitter.com/WillyYums/status/907309658536374272,,,
Use it. Share with others so their safe. No one over here is trying to get rich off this picture,,0,,0.1366213433,24510,GideonApe,,9/10/17,9/10/2017 0:00,10:44:00 AM,4,68,,,,,,,9.07E+017,https://twitter.com/GideonApe/status/906891151533395968,,,
"First comes love.. then comes @amazon .. then comes an oops"" email and some pretty funny responses.. #AmazonBaby @WPTV pic.twitter.com/8Y0LZaiFch""",,0,,0.5751135598,6494,AshleighWalters,,9/20/17,9/20/2017 0:00,3:50:00 AM,4,14,,,,,@amazon @WPTV,#AmazonBaby,9.1E+017,https://twitter.com/AshleighWalters/status/910410715843964928,,,
Be safe,,0,,0.5843592957,52027,ScotianOaks,,9/9/17,9/9/2017 0:00,10:55:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/ScotianOaks/status/906531404611297281,,,
Police called out after rapper's Ybor show canceled http:// on.wtsp.com/2gtlsvJ pic.twitter.com/BOkOO3d3l1,,0,,0.9716055851,2134,10NewsWTSP,,9/2/17,9/2/2017 0:00,11:05:00 PM,0,1,,,,,,,9.04E+017,https://twitter.com/10NewsWTSP/status/904178428353662977,,,
Ha. Good one!,,0,,0.1144095,43105,NedAbbey,,9/7/17,9/7/2017 0:00,4:58:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/NedAbbey/status/905898105656233984,,,
@mysuncoast,,0,,0.1644389649,56396,tatsndiamonds,,9/8/17,9/8/2017 0:00,6:23:00 PM,0,2,,,,,@mysuncoast,,9.06E+017,https://twitter.com/tatsndiamonds/status/906281743354880000,,,
Massive police presence in front of Trump Hotel in DC after assault suspect crashes car: http:// bit.ly/2vCYX1G,,0,,0.4910534847,12959,CBS12,,9/3/17,9/3/2017 0:00,5:30:00 PM,9,1,,,,,,,9.04E+017,https://twitter.com/CBS12/status/904456468358766593,,,
Call from India leads to abuse arrests in Florida. http:// bit.ly/2x2vcrs pic.twitter.com/2323JUVoTc,,0,,0.2809842354,12981,CBS12,,9/3/17,9/3/2017 0:00,8:00:00 AM,1,2,,,,,,,9.04E+017,https://twitter.com/CBS12/status/904313028061138944,,,
Hi 2AndreaMavin from Milwaukee just saying hello and stay safe over there,,0,,0.310170263,26083,Hectort87033695,,9/8/17,9/8/2017 0:00,6:27:00 PM,0,2,,,,,,,9.06E+017,https://twitter.com/Hectort87033695/status/906282824394825729,,,
It's so disgraceful how we treat God's creatures.,,0,,0.4512501065,24332,GenoBlanco1,,9/10/17,9/10/2017 0:00,8:56:00 PM,0,1,,,,,,,9.07E+017,https://twitter.com/GenoBlanco1/status/907045215164399619,,,
"Oh, so thaaaaat's where that's where I left it!",,0,,0.5709715422,13409,ChazzWoodson,,9/28/17,9/28/2017 0:00,6:45:00 PM,0,0,,,,,,,9.14E+017,https://twitter.com/ChazzWoodson/status/913535046623092737,,,
Ybor City and Tarpon Spring also good to visit. Stay safe and see you on WPTV :),,0,,0.3700202321,18601,Dr_Mitch_Smith,,9/10/17,9/10/2017 0:00,2:42:00 PM,0,1,,,,,,,9.07E+017,https://twitter.com/Dr_Mitch_Smith/status/906951102117097474,,,
Me ethier,,0,,0.1102272012,41715,mrtwootime,,9/5/17,9/5/2017 0:00,8:22:00 PM,0,1,,,,,,,9.05E+017,https://twitter.com/mrtwootime/status/905224602808455169,,,
Please SOMEONE POP a cap in their asses,,0,,0.9904232794,36532,LS5Vendetta,,9/10/17,9/10/2017 0:00,2:04:00 PM,0,3,,,,,,,9.07E+017,https://twitter.com/LS5Vendetta/status/906941548658642946,,,
A billionaire fighting Billionaires for billions. Who do you think will win the money game?,,0,,0.150845394,26252,hessiebates4,,9/26/17,9/26/2017 0:00,10:36:00 PM,0,0,,,,,,,9.13E+017,https://twitter.com/hessiebates4/status/912868494911447040,,,
Run.,,0,,0.0956347917,53736,So__Chicago,,9/4/17,9/4/2017 0:00,10:35:00 AM,0,1,,,,,,,9.05E+017,https://twitter.com/So__Chicago/status/904714439190044674,,,
"What!? Is this real or fake news? Nowadays, we need more than one source to get accurate info.",,0,,0.5313031925,7128,babykatd1,,9/17/17,9/17/2017 0:00,11:05:00 AM,0,0,,,,,,,9.09E+017,https://twitter.com/babykatd1/status/909433081567891456,,,
This folks,,0,,0.7855204815,27102,IanMargol,,9/8/17,9/8/2017 0:00,10:05:00 AM,2,0,,,," is the BIG one."" @WPLGLocal10 pic.twitter.com/NXpNAHXAiD""",,@WPLGLocal10,,9.06E+017,https://twitter.com/IanMargol/status/906156610841698305,,
I'm 1mi south of the B and H gun rack!,,0,,0.0146518217,57863,tm_sweetT,,9/7/17,9/7/2017 0:00,1:53:00 PM,0,1,,,,,,,9.06E+017,https://twitter.com/tm_sweetT/status/905851509140750336,,,
@WCJB20 please pick up this story https:// m.facebook.com/story.php?stor y_fbid=10213702601702870&id=1339951836 â€¦,,0,,0.0549062586,40818,mishuggina,,9/13/17,9/13/2017 0:00,7:01:00 PM,0,0,,,,,@WCJB20,,9.08E+017,https://twitter.com/mishuggina/status/908103433210793990,,,
"Colorado movie theater shooting survivors ordered to pay $700,000: http:// bit.ly/2bGxeEs pic.twitter.com/OprHpAG0aj",,0,,0.2432073584,23306,FOX29WFLX,,9/1/16,9/1/2016 0:00,9:00:00 PM,0,0,,,,,,,7.72E+017,https://twitter.com/FOX29WFLX/status/771513034833588225,,,
Thought it was till 4;15 am?,,0,,0.555094538,55474,SusanMarinacci1,,9/10/17,9/10/2017 0:00,4:08:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/SusanMarinacci1/status/906791492693393409,,,
Wow!,,0,,0.750652208,33660,kingsgatehorses,,9/10/17,9/10/2017 0:00,1:22:00 PM,0,1,,,,,,,9.07E+017,https://twitter.com/kingsgatehorses/status/906930782635163648,,,
Love #AddisonRussell destroying this #Carrdinals fan's nachos and then later bringing him a new plate. @WPTV pic.twitter.com/TRt6eZjack,,0,,0.2653458973,15701,CStewartWPTV,,9/26/17,9/26/2017 0:00,6:28:00 AM,1,4,,,,,@WPTV,#AddisonRussell #Carrdinals,9.13E+017,https://twitter.com/CStewartWPTV/status/912624793744179200,,,
"And if they were right, if your money and life not being disrupted is more important than being alive, enjoy.",,0,,0.0970265249,5208,AndrewLevine5,,9/9/17,9/9/2017 0:00,12:54:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/AndrewLevine5/status/906561432359186432,,,
THIS is why you should only trust @wctv and professional reporters who research & validate REAL news! @tiffanywctv http:// money.cnn.com/interactive/me dia/the-macedonia-story/ â€¦,,0,,0.3114923554,25604,halleygator,,9/13/17,9/13/2017 0:00,7:52:00 AM,0,0,,,,,@wctv @tiffanywctv,,9.08E+017,https://twitter.com/halleygator/status/907934951529697285,,,
"Property owner, son arrested on drug and receiving stolen property charges http://www. fox10tv.com/story/36413798 /property-owner-son-arrested-on-drug-and-receiving-stolen-property-charges â€¦",,0,,0.2180414115,22015,FOX10News,,9/20/17,9/20/2017 0:00,4:17:00 PM,0,0,,,,,,,9.11E+017,https://twitter.com/FOX10News/status/910598694088691712,,,
pic.twitter.com/xbrn9ivajW,,0,,0.354068397,3750,Al75433927,,9/14/17,9/14/2017 0:00,8:37:00 AM,0,1,,,,,,,9.08E+017,https://twitter.com/Al75433927/status/908308669804183552,,,
"Toys R"" Us files for bankruptcy http://www. wctv.tv/content/news/T oys-R-Us-files-for-bankruptcy-445662963.html â€¦""",,0,,0.6103696478,60934,WCTV,,9/19/17,9/19/2017 0:00,7:25:00 AM,3,5,,,,,,,9.1E+017,https://twitter.com/WCTV/status/910102663211180033,,,
"Just in: @stluciesheriff now confirms body found in Lakewood Park retention pond is 24-yr John Kim, reported missing Monday. @CBS12 pic.twitter.com/xdxYYNbulh",,0,,0.9117413505,14104,ChuckWeber12,,9/19/17,9/19/2017 0:00,5:00:00 PM,7,0,,,,,@stluciesheriff @CBS12,,9.1E+017,https://twitter.com/ChuckWeber12/status/910247239959875584,,,
PAMM Shop merchandise to be featured in the vignette created by @jattiadesign for @EricaRakow of @WPLGLocal10 - see you there Erica! @pamm https:// twitter.com/AllegoryPR/sta tus/894894547699867648 â€¦,,0,,0.9399978612,10981,CBoomerVazquez,,9/1/17,9/1/2017 0:00,8:08:00 PM,1,4,,,,,@jattiadesign @EricaRakow @WPLGLocal10 @pamm,,9.04E+017,https://twitter.com/CBoomerVazquez/status/903771530110410752,,,
Sunday good morning Samara!,,0,,0.1968077299,10533,CarbajalIleana,,9/17/17,9/17/2017 0:00,12:55:00 PM,0,0,,,,,,,9.09E+017,https://twitter.com/CarbajalIleana/status/909460736857931776,,,
I may be wrong @AnnCoulter but this looks anything but boring.,,0,,0.7902741683,4631,AlysPopTown,,9/10/17,9/10/2017 0:00,5:01:00 PM,0,0,,,,,@AnnCoulter,,9.07E+017,https://twitter.com/AlysPopTown/status/906986115197845504,,,
